"","X","Title","year","rated","released","runtime","genre","director","awards","imdbrating","boxOffice","key"
"292",312,"King Kong","2005","PG-13","14 Dec 2005","187 min","Action, Adventure, Drama","Peter Jackson","Won 3 Oscars. Another 43 wins & 100 nominations.","7.2","$218,100,000","King Kong (2005)"
"293",313,"King Solomon's Mines","2004","N/A","N/A","173 min","Action, Adventure, Fantasy","N/A","N/A","6.0",NA,"King Solomon's Mines (2004)"
"294",314,"King Solomon's Mines","1985","PG-13","22 Nov 1985","100 min","Action, Adventure, Comedy","J. Lee Thompson","2 nominations.","5.1","N/A","King Solomon's Mines (1985)"
"295",315,"King Solomon's Mines","1950","PASSED","24 Nov 1950","103 min","Adventure, Romance, Action","Compton Bennett, Andrew Marton","Won 2 Oscars. Another 1 win & 2 nominations.","6.9","N/A","King Solomon's Mines (1950)"
"296",316,"A Connecticut Yankee","1931","UNRATED","06 Apr 1931","95 min","Comedy, Fantasy, Romance","David Butler","N/A","6.7","N/A","A Connecticut Yankee (1931)"
"297",317,"A Connecticut Yankee in King Arthur's Court","1949","NOT RATED","22 Apr 1949","106 min","Comedy, Family, Fantasy","Tay Garnett","N/A","6.7","N/A","A Connecticut Yankee in King Arthur's Court (1949)"
"298",318,"A Kid in King Arthur's Court","1995","PG","11 Aug 1995","89 min","Adventure, Comedy, Family","Michael Gottlieb","1 nomination.","4.8","N/A","A Kid in King Arthur's Court (1995)"
"299",319,"A Kiss Before Dying","1991","R","26 Apr 1991","94 min","Crime, Mystery, Thriller","James Dearden","2 wins.","5.7","N/A","A Kiss Before Dying (1991)"
"300",320,"Kiss Me Goodbye","1982","PG","22 Dec 1982","101 min","Comedy, Fantasy, Romance","Robert Mulligan","N/A","6.1","N/A","Kiss Me Goodbye (1982)"
"301",321,"Kiss of Death","1995","R","21 Apr 1995","101 min","Action, Crime, Thriller","Barbet Schroeder","1 nomination.","5.9","N/A","Kiss of Death (1995)"
"302",322,"Knock Knock","2015","R","09 Oct 2015","99 min","Drama, Horror, Thriller","Eli Roth","N/A","4.9","$285,363","Knock Knock (2015)"
"303",324,"The Ladykillers","2004","R","26 Mar 2004","104 min","Comedy, Crime, Thriller","Ethan Coen, Joel Coen","5 wins & 4 nominations.","6.2","N/A","The Ladykillers (2004)"
"304",325,"The Lady Vanishes","1979","PG","01 Mar 1980","95 min","Action, Comedy, Mystery","Anthony Page","N/A","5.9","N/A","The Lady Vanishes (1979)"
"305",326,"The Land That Time Forgot","2009","NOT RATED","28 Jul 2009","88 min","Action, Fantasy, Sci-Fi","C. Thomas Howell","N/A","3.2","N/A","The Land That Time Forgot (2009)"
"306",327,"The Lake House","2006","PG","16 Jun 2006","99 min","Drama, Fantasy, Romance","Alejandro Agresti","2 wins & 2 nominations.","6.8","$52,300,000","The Lake House (2006)"
"307",328,"Last Holiday","2006","PG-13","13 Jan 2006","112 min","Comedy","Wayne Wang","7 nominations.","6.4","$38,360,195","Last Holiday (2006)"
"308",329,"The Last House on the Left","1972","UNRATED","30 Aug 1972","84 min","Horror, Thriller","Wes Craven","N/A","6.0","N/A","The Last House on the Left (1972)"
"309",330,"The Last House on the Left","2009","R","13 Mar 2009","110 min","Crime, Horror, Thriller","Dennis Iliadis","1 win & 8 nominations.","6.6","$32,721,635","The Last House on the Left (2009)"
"310",331,"The Last Kiss","2006","R","15 Sep 2006","104 min","Comedy, Drama, Romance","Tony Goldwyn","1 win & 4 nominations.","6.5","$11,502,628","The Last Kiss (2006)"
"311",332,"Last Man Standing","1996","R","20 Sep 1996","101 min","Action, Crime, Drama","Walter Hill","N/A","6.4","N/A","Last Man Standing (1996)"
"312",333,"The Last of Mrs. Cheyney","1937","PASSED","19 Feb 1937","98 min","Comedy, Drama","Richard Boleslawski, Dorothy Arzner, George Fitzmaurice","N/A","6.2","N/A","The Last of Mrs. Cheyney (1937)"
"313",335,"Let Me In","2010","R","01 Oct 2010","116 min","Drama, Horror, Mystery","Matt Reeves","14 wins & 28 nominations.","7.2","$12,134,420","Let Me In (2010)"
"314",336,"Easy to Wed","1946","PASSED","25 Jul 1946","106 min","Comedy, Romance","Edward Buzzell, Buster Keaton, Edward Sedgwick","N/A","6.3","N/A","Easy to Wed (1946)"
"315",337,"Lifepod","1993","N/A","28 Jun 1993","89 min","Mystery, Sci-Fi, Thriller","Ron Silver","N/A","5.9","N/A","Lifepod (1993)"
"316",338,"The Little Foxes","1956","N/A","16 Dec 1956","90 min","N/A","George Schaefer","N/A","8.0","N/A","The Little Foxes (1956)"
"317",339,"Little Fugitive","2006","N/A","27 May 2006","89 min","Drama","Joanna Lipper","1 win.","6.0","N/A","Little Fugitive (2006)"
"318",340,"Sorrowful Jones","1949","N/A","04 Jul 1949","88 min","Comedy, Drama","Sidney Lanfield","N/A","7.0","N/A","Sorrowful Jones (1949)"
"319",341,"Little Miss Marker","1980","PG","21 Mar 1980","103 min","Comedy, Drama, Romance","Walter Bernstein","1 nomination.","6.3","N/A","Little Miss Marker (1980)"
"320",342,"Little Shop of Horrors","1986","PG-13","19 Dec 1986","94 min","Comedy, Family, Musical","Frank Oz","Nominated for 2 Oscars. Another 2 wins & 12 nominations.","6.9","N/A","Little Shop of Horrors (1986)"
"321",343,"The Lodger","2009","R","14 Jan 2009","95 min","Crime, Drama, Horror","David Ondaatje","1 nomination.","5.8","N/A","The Lodger (2009)"
"322",344,"Man in the Attic","1953","UNRATED","23 Dec 1953","82 min","Film-Noir, Mystery, Thriller","Hugo Fregonese","N/A","6.2","N/A","Man in the Attic (1953)"
"323",345,"The Lodger","1944","APPROVED","19 Jan 1944","84 min","Crime, Horror, Mystery","John Brahm","N/A","7.2","N/A","The Lodger (1944)"
"324",347,"Loft","2010","N/A","16 Dec 2010","108 min","Crime, Drama, Thriller","Antoinette Beumer","3 wins & 4 nominations.","6.9","N/A","Loft (2010)"
"325",348,"The Loft","2014","R","30 Jan 2015","108 min","Mystery, Romance, Thriller","Erik Van Looy","1 nomination.","6.3","$4,409,157","The Loft (2014)"
"326",349,"LOL","2012","PG-13","01 Mar 2012","97 min","Comedy, Drama, Romance","Lisa Azuelos","1 nomination.","4.3","N/A","LOL (2012)"
"327",350,"Mean Machine","2001","R","26 Dec 2001","99 min","Comedy, Crime, Drama","Barry Skolnick","N/A","6.5","N/A","Mean Machine (2001)"
"328",351,"The Longest Yard","2005","PG-13","27 May 2005","113 min","Comedy, Crime, Sport","Peter Segal","2 wins & 17 nominations.","6.4","$157,900,000","The Longest Yard (2005)"
"329",352,"Long Fliv the King","1926","PASSED","13 Jun 1926","22 min","Short, Comedy","Leo McCarey","N/A","6.7","N/A","Long Fliv the King (1926)"
"330",353,"The Long Hot Summer","1985","N/A","06 Oct 1985","200 min","Drama, Romance","Stuart Cooper","Nominated for 2 Primetime Emmys. Another 1 nomination.","7.2","N/A","The Long Hot Summer (1985)"
"331",354,"The Long Night","1947","APPROVED","28 May 1947","101 min","Crime, Drama, Film-Noir","Anatole Litvak","N/A","6.7","N/A","The Long Night (1947)"
"332",355,"Lost Horizon","1973","G","17 Mar 1973","150 min","Fantasy, Musical, Adventure","Charles Jarrott","N/A","5.2","N/A","Lost Horizon (1973)"
"333",356,"The Lost Patrol","1934","PASSED","16 Feb 1934","73 min","Adventure, War","John Ford","Nominated for 1 Oscar. Another 1 win.","7.0","N/A","The Lost Patrol (1934)"
"334",357,"Love Affair","1994","PG-13","21 Oct 1994","108 min","Comedy, Drama, Romance","Glenn Gordon Caron","2 nominations.","5.9","N/A","Love Affair (1994)"
"335",358,"Love Don't Cost a Thing","2003","PG-13","12 Dec 2003","100 min","Comedy, Romance, Drama","Troy Byer","6 nominations.","5.1","$21,718,038","Love Don't Cost a Thing (2003)"
"336",359,"Lure of the Wilderness","1952","APPROVED","13 Oct 1952","93 min","Adventure, Drama, Romance","Jean Negulesco","N/A","6.8","N/A","Lure of the Wilderness (1952)"
"337",360,"M","1951","N/A","01 Mar 1951","88 min","Drama, Film-Noir, Thriller","Joseph Losey","N/A","6.9","N/A","M (1951)"
"338",361,"The Magnificent Ambersons","1942","APPROVED","10 Jul 1942","88 min","Drama, Romance","Orson Welles, Fred Fleck, Robert Wise","Nominated for 4 Oscars. Another 4 wins.","7.9","N/A","The Magnificent Ambersons (1942)"
"339",362,"The Magnificent Ambersons","2002","N/A","13 Jan 2002","150 min","Drama","Alfonso Arau","N/A","6.0","N/A","The Magnificent Ambersons (2002)"
"340",363,"The Magnificent Seven","1960","NOT RATED","23 Nov 1960","128 min","Action, Adventure, Western","John Sturges","Nominated for 1 Oscar. Another 1 win & 5 nominations.","7.8","N/A","The Magnificent Seven (1960)"
"341",364,"Main Aisa Hi Hoon","2005","N/A","06 May 2005","162 min","Musical, Drama","Harry Baweja","N/A","4.7","N/A","Main Aisa Hi Hoon (2005)"
"342",365,"Major Payne","1995","PG-13","24 Mar 1995","95 min","Adventure, Comedy, Family","Nick Castle","N/A","6.2","N/A","Major Payne (1995)"
"343",366,"Satan Met a Lady","1936","APPROVED","22 Jul 1936","74 min","Drama, Film-Noir, Mystery","William Dieterle","N/A","6.2","N/A","Satan Met a Lady (1936)"
"344",367,"The Maltese Falcon","1941","NOT RATED","18 Oct 1941","100 min","Film-Noir, Mystery","John Huston","Nominated for 3 Oscars. Another 4 wins.","8.1","N/A","The Maltese Falcon (1941)"
"345",368,"The Man They Could Not Hang","1939","UNRATED","17 Aug 1939","64 min","Crime, Horror, Sci-Fi","Nick Grinde","N/A","6.8","N/A","The Man They Could Not Hang (1939)"
"346",369,"The Man with One Red Shoe","1985","PG","19 Jul 1985","92 min","Comedy, Thriller","Stan Dragoti","N/A","5.7","N/A","The Man with One Red Shoe (1985)"
"347",370,"The Man Without a Country","1937","APPROVED","27 Nov 1937","21 min","Drama, Short","Crane Wilbur","N/A","5.8","N/A","The Man Without a Country (1937)"
"348",371,"The Man Who Knew Too Much","1956","APPROVED","01 Jun 1956","120 min","Drama, Thriller","Alfred Hitchcock","Won 1 Oscar. Another 1 win & 4 nominations.","7.5","N/A","The Man Who Knew Too Much (1956)"
"349",372,"The Man Who Loved Women","1983","R","16 Dec 1983","110 min","Comedy, Drama, Romance","Blake Edwards","N/A","5.1","N/A","The Man Who Loved Women (1983)"
"350",373,"The Manchurian Candidate","2004","R","30 Jul 2004","129 min","Drama, Mystery, Sci-Fi","Jonathan Demme","Nominated for 1 Golden Globe. Another 1 win & 11 nominations.","6.6","$65,700,000","The Manchurian Candidate (2004)"
"351",374,"Rajmohol","2005","N/A","N/A","N/A","Drama, Thriller","Swapan Saha","N/A","6.3","N/A","Rajmohol (2005)"
"352",375,"Bhool Bhulaiyaa","2007","NOT RATED","12 Oct 2007","159 min","Comedy, Horror, Mystery","Priyadarshan","11 nominations.","7.3","$1,000,000","Bhool Bhulaiyaa (2007)"
"353",376,"Marcellino","1991","N/A","19 Dec 1991","92 min","Drama","Luigi Comencini","N/A","5.9","N/A","Marcellino (1991)"
"354",377,"Marcelino Pan y Vino","2010","N/A","17 Dec 2010","91 min","Drama, Family","Jose Luis Gutierrez Arias","1 win.","5.9","N/A","Marcelino Pan y Vino (2010)"
"355",378,"Marcelino Pan y Vino","2010","N/A","17 Dec 2010","91 min","Drama, Family","Jose Luis Gutierrez Arias","1 win.","5.9","N/A","Marcelino Pan y Vino (2010)"
"356",380,"Mark of the Vampire","1935","PASSED","26 Apr 1935","60 min","Horror, Mystery","Tod Browning","1 nomination.","6.3","N/A","Mark of the Vampire (1935)"
"357",381,"Marked Men","1919","N/A","21 Dec 1919","50 min","Western","John Ford","N/A","4.5","N/A","Marked Men (1919)"
"358",382,"Martyrs","2015","NOT RATED","22 Jan 2016","86 min","Drama, Horror, Thriller","Kevin Goetz, Michael Goetz","N/A","4.0","N/A","Martyrs (2015)"
"359",383,"The Mask of Fu Manchu","1932","PASSED","05 Nov 1932","68 min","Adventure, Horror, Sci-Fi","Charles Brabin, Charles Vidor","1 nomination.","6.5","N/A","The Mask of Fu Manchu (1932)"
"360",384,"Masquerade in Mexico","1945","N/A","03 Dec 1945","96 min","Comedy","Mitchell Leisen","N/A","5.9","N/A","Masquerade in Mexico (1945)"
"361",385,"The Mechanic","2011","R","28 Jan 2011","93 min","Action, Crime, Thriller","Simon West","1 nomination.","6.6","$29,113,588","The Mechanic (2011)"
"362",386,"Meet Joe Black","1998","PG-13","13 Nov 1998","178 min","Drama, Fantasy, Romance","Martin Brest","3 wins & 6 nominations.","7.2","N/A","Meet Joe Black (1998)"
"363",387,"Meet Me in St. Louis","1959","N/A","26 Apr 1959","120 min","Comedy, Musical","George Schaefer","N/A","7.2","N/A","Meet Me in St. Louis (1959)"
"364",388,"Meet Me in St. Louis","1966","N/A","02 Sep 1966","26 min","Comedy, Drama, Family","Alan D. Courtney, Jeffrey Hayden","N/A","5.0","N/A","Meet Me in St. Louis (1966)"
"365",389,"Men Don't Leave","1990","PG-13","23 Feb 1990","115 min","Drama","Paul Brickman","3 nominations.","6.7","N/A","Men Don't Leave (1990)"
"366",390,"It Happened One Christmas","1977","N/A","11 Dec 1977","109 min","Comedy, Fantasy","Donald Wrye","N/A","6.1","N/A","It Happened One Christmas (1977)"
"367",391,"Merry Christmas, George Bailey","1997","N/A","25 Dec 1997","60 min","Fantasy","Matthew Diamond","N/A","7.4","N/A","Merry Christmas, George Bailey (1997)"
"368",392,"Messenger","1994","N/A","N/A","74 min","Drama","Norman Loftis","N/A","7.0","N/A","Messenger (1994)"
"369",393,"Mighty Joe Young","1998","PG","25 Dec 1998","114 min","Action, Adventure, Family","Ron Underwood","Nominated for 1 Oscar. Another 1 win & 3 nominations.","5.6","N/A","Mighty Joe Young (1998)"
"370",394,"Miracle on 34th Street","1973","N/A","14 Dec 1973","100 min","Family, Drama, Fantasy","Fielder Cook","N/A","5.8","N/A","Miracle on 34th Street (1973)"
"371",395,"Miracle on 34th Street","1994","PG","18 Nov 1994","114 min","Family, Fantasy","Les Mayfield","1 nomination.","6.4","N/A","Miracle on 34th Street (1994)"
"372",396,"The Miracle Man","1932","N/A","01 Apr 1932","85 min","Drama","Norman Z. McLeod","N/A","6.9","N/A","The Miracle Man (1932)"
"373",397,"The Mirror Has Two Faces","1996","PG-13","15 Nov 1996","126 min","Comedy, Drama, Romance","Barbra Streisand","Nominated for 2 Oscars. Another 4 wins & 9 nominations.","6.5","N/A","The Mirror Has Two Faces (1996)"
"374",398,"Mirrors","2008","R","15 Aug 2008","110 min","Horror, Mystery","Alexandre Aja","2 nominations.","6.2","$30,575,158","Mirrors (2008)"
"375",400,"Missile to the Moon","1958","APPROVED","29 Jun 1960","78 min","Drama, Sci-Fi","Richard E. Cunha","N/A","3.6","N/A","Missile to the Moon (1958)"
"376",401,"Mixed Nuts","1994","PG-13","21 Dec 1994","97 min","Comedy, Drama","Nora Ephron","1 nomination.","5.4","N/A","Mixed Nuts (1994)"
"377",402,"Mogambo","1953","APPROVED","09 Oct 1953","116 min","Adventure, Drama, Romance","John Ford","Nominated for 2 Oscars. Another 2 wins & 2 nominations.","6.7","N/A","Mogambo (1953)"
"378",403,"The Money Pit","1986","PG","26 Mar 1986","91 min","Comedy","Richard Benjamin","N/A","6.3","N/A","The Money Pit (1986)"
"379",404,"The Monkey's Paw","1948","N/A","01 Nov 1948","64 min","Horror, Thriller","Norman Lee","N/A","5.9","N/A","The Monkey's Paw (1948)"
"380",405,"The Monster and the Girl","1941","APPROVED","28 Feb 1941","65 min","Crime, Drama, Horror","Stuart Heisler","N/A","6.1","N/A","The Monster and the Girl (1941)"
"381",406,"Moon Over Parador","1988","PG-13","09 Sep 1988","103 min","Comedy, Romance","Paul Mazursky","N/A","5.9","N/A","Moon Over Parador (1988)"
"382",407,"Mother's Day","2010","R","05 May 2011","112 min","Horror, Thriller","Darren Lynn Bousman","N/A","6.3","N/A","Mother's Day (2010)"
"383",408,"Something's Got to Give","1962","N/A","01 Jun 2001","37 min","Comedy, Short","George Cukor","N/A","N/A","N/A","Something's Got to Give (1962)"
"384",409,"Move Over, Darling","1963","APPROVED","25 Dec 1963","103 min","Comedy, Romance","Michael Gordon","Nominated for 1 Golden Globe. Another 3 nominations.","7.0","N/A","Move Over, Darling (1963)"
"385",410,"Mr. Deeds","2002","PG-13","28 Jun 2002","96 min","Comedy, Romance","Steven Brill","5 wins & 9 nominations.","5.8","$126,203,320","Mr. Deeds (2002)"
"386",411,"The Mummy","1999","PG-13","07 May 1999","124 min","Action, Adventure, Fantasy","Stephen Sommers","Nominated for 1 Oscar. Another 5 wins & 19 nominations.","7.0","N/A","The Mummy (1999)"
"387",413,"Shankar Dada MBBS","2004","N/A","15 Oct 2004","174 min","Comedy","Jayant Paranji","1 win.","7.4","N/A","Shankar Dada MBBS (2004)"
"388",416,"My Father the Hero","1994","PG","04 Feb 1994","90 min","Comedy, Romance","Steve Miner","1 nomination.","5.4","N/A","My Father the Hero (1994)"
"389",417,"My Man Godfrey","1957","UNRATED","09 Dec 1957","92 min","Comedy","Henry Koster","N/A","6.3","N/A","My Man Godfrey (1957)"
"390",418,"My Fair Lady","1964","G","25 Dec 1964","170 min","Drama, Family, Musical","George Cukor","Won 8 Oscars. Another 16 wins & 13 nominations.","7.9","N/A","My Fair Lady (1964)"
"391",419,"My Sassy Girl","2008","PG-13","26 Jun 2008","92 min","Comedy, Drama, Romance","Yann Samuell","1 nomination.","6.3","N/A","My Sassy Girl (2008)"
"392",420,"Naa Autograph Sweet Memories","2004","N/A","11 Aug 2004","N/A","Drama, Romance","Gopal Reddy S.","N/A","7.1","N/A","Naa Autograph Sweet Memories (2004)"
"393",421,"Naina","2005","N/A","20 May 2005","104 min","Drama, Horror, Mystery","Shripal Morakhia","1 nomination.","4.3","N/A","Naina (2005)"
"394",422,"Narrow Margin","1990","R","21 Sep 1990","97 min","Action, Crime, Thriller","Peter Hyams","1 nomination.","6.6","N/A","Narrow Margin (1990)"
"395",423,"The Next Three Days","2010","PG-13","19 Nov 2010","133 min","Crime, Drama, Romance","Paul Haggis","4 nominations.","7.4","$21,100,000","The Next Three Days (2010)"
"396",424,"Night and the City","1992","R","23 Oct 1992","105 min","Comedy, Crime, Drama","Irwin Winkler","N/A","5.8","N/A","Night and the City (1992)"
"397",425,"Night Must Fall","1964","N/A","18 Mar 1964","101 min","Crime, Thriller","Karel Reisz","1 nomination.","6.6","N/A","Night Must Fall (1964)"
"398",426,"A Nightmare on Elm Street","2010","R","30 Apr 2010","95 min","Crime, Drama, Horror","Samuel Bayer","2 wins & 11 nominations.","5.2","$63,100,000","A Nightmare on Elm Street (2010)"
"399",427,"Night of the Demons","2009","R","26 May 2011","93 min","Action, Comedy, Horror","Adam Gierasch","1 nomination.","4.7","N/A","Night of the Demons (2009)"
"400",428,"Night of the Living Dead","1990","R","19 Oct 1990","92 min","Horror","Tom Savini","2 nominations.","6.9","N/A","Night of the Living Dead (1990)"
"401",429,"Night of the Living Dead 3D","2006","R","10 Nov 2006","80 min","Horror","Jeff Broadstreet","N/A","3.1","N/A","Night of the Living Dead 3D (2006)"
"402",430,"Nightwatch","1997","R","17 Apr 1998","101 min","Drama, Horror, Thriller","Ole Bornedal","2 wins.","6.2","N/A","Nightwatch (1997)"
"403",431,"Nine Months","1995","PG-13","12 Jul 1995","103 min","Comedy, Romance","Chris Columbus","1 win & 2 nominations.","5.5","N/A","Nine Months (1995)"
"404",432,"No Reservations","2007","PG","27 Jul 2007","104 min","Comedy, Drama, Romance","Scott Hicks","1 nomination.","6.3","$43,100,000","No Reservations (2007)"
"405",433,"Nosferatu the Vampyre","1979","PG","17 Jan 1979","107 min","Horror","Werner Herzog","5 wins & 8 nominations.","7.6","N/A","Nosferatu the Vampyre (1979)"
"406",434,"No Way Out","1987","R","14 Aug 1987","114 min","Action, Crime, Drama","Roger Donaldson","N/A","7.1","N/A","No Way Out (1987)"
"407",435,"Not of This Earth","1988","R","20 May 1988","81 min","Comedy, Horror, Sci-Fi","Jim Wynorski","N/A","4.5","N/A","Not of This Earth (1988)"
"408",436,"Not of This Earth","1995","R","05 Sep 1995","91 min","Sci-Fi","Terence H. Winkless","N/A","5.1","N/A","Not of This Earth (1995)"
"409",437,"Notorious","1992","N/A","28 Jan 1992","100 min","Action, Thriller","Colin Bucksey","N/A","4.5","N/A","Notorious (1992)"
"410",438,"Rangrezz","2013","NOT RATED","21 Mar 2013","144 min","Action, Drama","Priyadarshan","N/A","5.1","N/A","Rangrezz (2013)"
"411",439,"Run","2011","N/A","N/A","3 min","Short, Action, Thriller","Alex Stickroth","N/A","N/A","N/A","Run (2011)"
"412",440,"Ithu Nammude Katha","2011","N/A","01 Jan 2011","N/A","N/A","Rajesh Kannankara","N/A","4.2","N/A","Ithu Nammude Katha (2011)"
"413",441,"Hudugaru","2011","N/A","15 May 2011","148 min","Action, Drama","K. Madesh","N/A","N/A","N/A","Hudugaru (2011)"
"414",445,"Bluffmaster!","2005","N/A","16 Dec 2005","137 min","Comedy, Crime, Drama","Rohan Sippy","3 nominations.","6.7","$668,166","Bluffmaster! (2005)"
"415",446,"The Nutty Professor","1996","PG-13","28 Jun 1996","95 min","Comedy, Romance, Sci-Fi","Tom Shadyac","Won 1 Oscar. Another 9 wins & 12 nominations.","5.6","N/A","The Nutty Professor (1996)"
"416",447,"Ocean's Eleven","2001","PG-13","07 Dec 2001","116 min","Crime, Thriller","Steven Soderbergh","4 wins & 20 nominations.","7.8","$183,349,128","Ocean's Eleven (2001)"
"417",448,"Ocean's Eleven","2001","PG-13","07 Dec 2001","116 min","Crime, Thriller","Steven Soderbergh","4 wins & 20 nominations.","7.8","$183,349,128","Ocean's Eleven (2001)"
"418",449,"The Old Dark House","1963","APPROVED","31 Oct 1963","86 min","Comedy, Horror, Mystery","William Castle","1 nomination.","5.4","N/A","The Old Dark House (1963)"
"419",451,"I Am Omega","2007","NOT RATED","18 Nov 2007","91 min","Action, Horror, Sci-Fi","Griff Furst","N/A","3.3","N/A","I Am Omega (2007)"
"420",452,"I Am Legend","2007","PG-13","14 Dec 2007","101 min","Drama, Horror, Sci-Fi","Francis Lawrence","9 wins & 22 nominations.","7.2","$256,399,999","I Am Legend (2007)"
"421",453,"The Omen","2006","R","06 Jun 2006","110 min","Horror","John Moore","1 win & 6 nominations.","5.5","$54,600,000","The Omen (2006)"
"422",454,"On the Beach","2000","N/A","28 May 2000","195 min","Drama, Sci-Fi","Russell Mulcahy","Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.","7.1","N/A","On the Beach (2000)"
"423",455,"One Million Years B.C.","1966","APPROVED","21 Feb 1967","91 min","Adventure, Fantasy","Don Chaffey","N/A","5.7","N/A","One Million Years B.C. (1966)"
"424",457,"The Opposite Sex","1956","NOT RATED","29 Apr 1957","117 min","Comedy, Musical, Romance","David Miller","N/A","6.2","N/A","The Opposite Sex (1956)"
"425",458,"Orfeu","1999","N/A","21 Apr 1999","110 min","Crime, Drama, Music","Carlos Diegues","5 wins & 6 nominations.","6.1","N/A","Orfeu (1999)"
"426",459,"Orphans of the Storm","1921","NOT RATED","N/A","150 min","Drama, History, Romance","D.W. Griffith","N/A","7.8","N/A","Orphans of the Storm (1921)"
"427",460,"Oscar","1991","PG","26 Apr 1991","109 min","Comedy, Crime","John Landis","3 nominations.","6.4","N/A","Oscar (1991)"
"428",461,"The Out-of-Towners","1999","PG-13","02 Apr 1999","90 min","Comedy","Sam Weisman","1 win.","5.3","N/A","The Out-of-Towners (1999)"
"429",462,"The Outrage","1964","APPROVED","08 Oct 1964","96 min","Drama, Western, Crime","Martin Ritt","N/A","6.3","N/A","The Outrage (1964)"
"430",463,"Outside the Law","1930","N/A","18 Sep 1930","79 min","Crime, Drama","Tod Browning","N/A","6.5","N/A","Outside the Law (1930)"
"431",464,"Oxford Blues","1984","PG-13","24 Aug 1984","97 min","Comedy, Drama, Sport","Robert Boris","N/A","5.3","N/A","Oxford Blues (1984)"
"432",465,"Painting the Clouds with Sunshine","1951","N/A","10 Oct 1951","87 min","Musical","David Butler","N/A","5.9","N/A","Painting the Clouds with Sunshine (1951)"
"433",466,"Paradise","1991","PG-13","04 Oct 1991","111 min","Drama","Mary Agnes Donoghue","1 win & 4 nominations.","6.7","N/A","Paradise (1991)"
"434",467,"The Parent Trap","1998","PG","29 Jul 1998","128 min","Adventure, Comedy, Drama","Nancy Meyers","2 wins & 7 nominations.","6.5","N/A","The Parent Trap (1998)"
"435",468,"Paris When It Sizzles","1964","APPROVED","08 Apr 1964","110 min","Comedy, Romance","Richard Quine","N/A","6.4","N/A","Paris When It Sizzles (1964)"
"436",470,"Peking Express","1951","N/A","01 Aug 1951","95 min","Drama, Thriller, Action","William Dieterle","N/A","5.9","N/A","Peking Express (1951)"
"437",471,"A Perfect Murder","1998","R","05 Jun 1998","107 min","Crime, Drama, Thriller","Andrew Davis","2 wins & 3 nominations.","6.5","N/A","A Perfect Murder (1998)"
"438",473,"Phantom of the Opera","1943","APPROVED","27 Aug 1943","92 min","Drama, Horror, Music","Arthur Lubin","Won 2 Oscars. Another 1 win & 3 nominations.","6.5","N/A","Phantom of the Opera (1943)"
"439",474,"Picnic","2000","N/A","16 Apr 2000","100 min","Drama, Romance","Ivan Passer","N/A","5.2","N/A","Picnic (2000)"
"440",475,"'Pimpernel' Smith","1941","PASSED","28 Jul 1941","120 min","Adventure, Drama, Thriller","Leslie Howard","1 win.","7.3","N/A","'Pimpernel' Smith (1941)"
"441",477,"The Plainsman","1966","N/A","01 Aug 1966","92 min","Western","David Lowell Rich","N/A","5.1","N/A","The Plainsman (1966)"
"442",478,"Planet of the Apes","2001","PG-13","27 Jul 2001","119 min","Action, Adventure, Sci-Fi","Tim Burton","Nominated for 2 BAFTA Film Awards. Another 10 wins & 27 nominations.","5.7","$178,094,583","Planet of the Apes (2001)"
"443",479,"The Plank","1979","N/A","17 Dec 1979","28 min","Comedy, Short","Eric Sykes","1 win.","7.4","N/A","The Plank (1979)"
"444",480,"Pocketful of Miracles","1961","APPROVED","15 Feb 1962","136 min","Comedy, Drama","Frank Capra","Nominated for 3 Oscars. Another 2 wins & 5 nominations.","7.3","N/A","Pocketful of Miracles (1961)"
"445",481,"Point Break","2015","PG-13","25 Dec 2015","114 min","Action, Crime, Sport","Ericson Core","3 nominations.","5.3","N/A","Point Break (2015)"
"446",482,"Point of No Return","1993","R","19 Mar 1993","109 min","Action, Crime, Drama","John Badham","N/A","6.0","N/A","Point of No Return (1993)"
"447",483,"Poltergeist","2015","PG-13","22 May 2015","93 min","Horror, Thriller","Gil Kenan","1 win & 6 nominations.","4.9","$39,918,054","Poltergeist (2015)"
"448",484,"Pokkiri","2007","N/A","12 Jan 2007","161 min","Action, Comedy, Crime","Prabhudheva","4 nominations.","7.2","N/A","Pokkiri (2007)"
"449",485,"Wanted","2009","NOT RATED","25 Sep 2009","147 min","Action, Crime, Thriller","Prabhudheva","3 nominations.","6.6","$217,432","Wanted (2009)"
"450",486,"Porki","2010","N/A","28 Jan 2010","154 min","Action, Crime, Romance","M.D. Sridhar","N/A","6.2","N/A","Porki (2010)"
"451",487,"The Poseidon Adventure","2005","NOT RATED","20 Nov 2005","174 min","Adventure, Action, Drama","John Putch","N/A","4.3","N/A","The Poseidon Adventure (2005)"
"452",488,"Poseidon","2006","PG-13","12 May 2006","98 min","Action, Adventure, Drama","Wolfgang Petersen","Nominated for 1 Oscar. Another 6 nominations.","5.6","$60,600,000","Poseidon (2006)"
"453",489,"The Preacher's Wife","1996","PG","13 Dec 1996","123 min","Comedy, Drama, Fantasy","Penny Marshall","Nominated for 1 Oscar. Another 2 wins & 5 nominations.","5.5","N/A","The Preacher's Wife (1996)"
"454",490,"Premonition","2007","PG-13","16 Mar 2007","96 min","Drama, Mystery, Thriller","Mennan Yapo","2 nominations.","5.9","$47,852,604","Premonition (2007)"
